language,story_number,title,level,pages,word_range,new_words,filename
Russian,1,The Book,Beginner,1,1-9,9,stories/russian/beginner/01-beginner-the-book.txt
Russian,2,Gathering at Home,Beginner,1,10-18,9,stories/russian/beginner/02-beginner-gathering-at-home.txt
Russian,3,A Hot Day,Beginner,1,19-27,9,stories/russian/beginner/03-beginner-a-hot-day.txt
Russian,4,The Choice,Beginner,1,28-36,9,stories/russian/beginner/04-beginner-the-choice.txt
Russian,5,The New Room,Beginner,1,37-44,8,stories/russian/beginner/05-beginner-the-new-room.txt
Russian,6,The Plan,Beginner,1,45-52,8,stories/russian/beginner/06-beginner-the-plan.txt
Russian,7,Three Wishes,Beginner,1,53-60,8,stories/russian/beginner/07-beginner-three-wishes.txt
Russian,8,A Quiet Night,Beginner,1,61-68,8,stories/russian/beginner/08-beginner-a-quiet-night.txt
Russian,9,The Large Port,Beginner,1,69-76,8,stories/russian/beginner/09-beginner-the-large-port.txt
Russian,10,The Path to Change,Beginner,1,77-84,8,stories/russian/beginner/10-beginner-the-path-to-change.txt
Russian,11,The New Picture,Beginner,1,85-92,8,stories/russian/beginner/11-beginner-the-new-picture.txt
Russian,12,Our World,Beginner,1,93-100,8,stories/russian/beginner/12-beginner-our-world.txt
Russian,13,The Lost Dog,Elementary,2,101-116,16,stories/russian/elementary/13-elementary-the-lost-dog.txt
Russian,14,The New House,Elementary,2,117-132,16,stories/russian/elementary/14-elementary-the-new-house.txt
Russian,15,The Mother's Advice,Elementary,2,133-148,16,stories/russian/elementary/15-elementary-the-mothers-advice.txt
Russian,16,Building a Bridge,Elementary,2,149-164,16,stories/russian/elementary/16-elementary-building-a-bridge.txt
Russian,17,The Picture Book,Elementary,2,165-180,16,stories/russian/elementary/17-elementary-the-picture-book.txt
Russian,18,Pointing to the Sky,Elementary,2,181-196,16,stories/russian/elementary/18-elementary-pointing-to-the-sky.txt
Russian,19,The Father's Letter,Elementary,2,197-212,16,stories/russian/elementary/19-elementary-the-fathers-letter.txt
Russian,20,Water from the Well,Elementary,2,213-228,16,stories/russian/elementary/20-elementary-water-from-the-well.txt
Russian,21,A Day of Play,Elementary,2,229-244,16,stories/russian/elementary/21-elementary-a-day-of-play.txt
Russian,22,Small Endings,Elementary,2,245-260,16,stories/russian/elementary/22-elementary-small-endings.txt
Russian,23,The Port City,Elementary,2,261-275,15,stories/russian/elementary/23-elementary-the-port-city.txt
Russian,24,High Lands,Elementary,2,276-290,15,stories/russian/elementary/24-elementary-high-lands.txt
Russian,25,Trying Again,Elementary,2,291-305,15,stories/russian/elementary/25-elementary-trying-again.txt
Russian,26,The World of Words,Elementary,2,306-320,15,stories/russian/elementary/26-elementary-the-world-of-words.txt
Russian,27,The Old Clock,Intermediate,3,321-344,24,stories/russian/intermediate/27-intermediate-the-old-clock.txt
Russian,28,The Quiet Forest,Intermediate,3,345-368,24,stories/russian/intermediate/28-intermediate-the-quiet-forest.txt
Russian,29,The City by the Sea,Intermediate,3,369-392,24,stories/russian/intermediate/29-intermediate-the-city-by-the-sea.txt
Russian,30,The Creative Lesson,Intermediate,3,393-416,24,stories/russian/intermediate/30-intermediate-the-creative-lesson.txt
Russian,31,The Mountain Wind,Intermediate,3,417-440,24,stories/russian/intermediate/31-intermediate-the-mountain-wind.txt
Russian,32,The Grandfather's Map,Intermediate,3,441-464,24,stories/russian/intermediate/32-intermediate-the-grandfathers-map.txt
Russian,33,The Painting Class,Intermediate,3,465-488,24,stories/russian/intermediate/33-intermediate-the-painting-class.txt
Russian,34,The Lost Key,Intermediate,3,489-512,24,stories/russian/intermediate/34-intermediate-the-lost-key.txt
